###FILE ALREADY PARSED###
BPM 1290 48
BPM 28210.05 240
BPM 28477.9 144
BPM 34208.24 144
BPM 72972.28 96
BPM 82747.56 144
1290 0 7
1290-2302 0 1
2808 0 6
2808-3821 0 2
3568 0 5
4327 0 6
4327-5340 0 3
5087 0 4
5846 0 5
5846-6859 0 4
6606 0 2
7365 0 6
7365-8378 0 3
8125 0 5
8505 0 6
8884 0 7
8884-9897 0 5
9644 0 4
10403 0 5
10403-11416 0 3
11922 0 6
11922-12935 0 2
12682 0 1
12682 0 4
13441 0 7
13441-14454 0 3
14201 0 6
14960-15973 0 2
15720 0 6
16479 0 5
16479-17492 0 1
17239 0 3
17998 0 5
17998-19011 0 3
18758 0 6
19517 0 7
19517-20530 0 4
20277 0 2
21036 0 6
21036-22049 0 3
21416 0 2
21416 0 5
21796 0 1
21796 0 4
22176 0 2
22176 0 6
22555 0 7
22555-23646 0 4
24192-26335 0 2
24192-26335 0 6
28477 0 1
28477 0 3
28477 0 4
28814 0 3
28814 0 5
28814 0 7
28983 0 1
29152 0 3
29152 0 7
29320 0 6
29404 0 4
29489 0 2
29657 0 1
29826 0 3
29826 0 7
29994 0 4
30163 0 5
30163 0 7
30331 0 1
30416 0 2
30500 0 3
30500 0 5
30584 0 4
30668 0 7
30753 0 3
30837 0 6
31005 0 2
31174 0 3
31174 0 5
31343 0 1
31427 0 3
31511 0 5
31595 0 2
31680 0 4
31764 0 7
31848 0 1
31848 0 3
31932 0 5
32017 0 7
32101 0 6
32185 0 1
32185 0 5
32270 0 2
32354 0 3
32438 0 4
32522 0 5
32607 0 6
32691 0 2
32691 0 7
32775 0 6
32859 0 5
32944 0 4
33028 0 3
33112 0 2
33197 0 1
33197 0 6
33281 0 2
33365 0 3
33449 0 4
33534 0 5
33534 0 7
34208 0 1
34208 0 5
34376 0 4
34545 0 2
34545 0 5
34545 0 7
34713 0 1
34713 0 6
34798 0 5
34882 0 4
35050 0 1
35050 0 3
35219 0 2
35219 0 5
35219 0 7
35388 0 4
35556 0 2
35556 0 5
35725 0 1
35725 0 3
35809 0 2
35809 0 4
35893 0 5
35977 0 6
36062 0 7
36146 0 2
36230 0 5
36399 0 2
36399 0 4
36399 0 6
36567 0 1
36567 0 4
36736 0 3
36820 0 5
36904 0 1
36904 0 7
36989 0 2
37073 0 4
37157 0 6
37241 0 1
37241 0 3
37326 0 5
37410 0 7
37494 0 6
37579 0 2
37579 0 5
37663 0 4
37747 0 1
37747 0 3
37831 0 4
37916 0 5
38000 0 6
38084 0 7
38168 0 6
38253 0 5
38337 0 6
38421 0 5
38505 0 4
38590 0 1
38590 0 3
38674 0 2
38674 0 4
38758 0 1
38758 0 5
38843 0 2
38843 0 4
38927 0 5
39011 0 6
39095 0 7
39180 0 6
39264 0 5
39348 0 6
39432 0 5
39517 0 4
39601 0 1
39601 0 3
39685 0 6
39770 0 4
39854 0 2
39938 0 1
39938 0 3
40022 0 4
40107 0 5
40191 0 6
40275 0 7
40359 0 4
40444 0 6
40528 0 3
40612 0 5
40697 0 2
40781 0 4
40865 0 5
40865 0 6
40949 0 4
40949 0 7
41034 0 3
41118 0 4
41202 0 5
41286 0 6
41371 0 7
41455 0 6
41539 0 5
41623 0 3
41708 0 6
41792 0 4
41876 0 1
41876 0 6
41961 0 5
42045 0 4
42045 0 7
42129 0 3
42129 0 6
42213 0 2
42298 0 1
42382 0 3
42466 0 4
42550 0 1
42635 0 3
42719 0 4
42803 0 5
42888 0 6
42972 0 7
43056 0 4
43140 0 6
43225 0 3
43309 0 5
43393 0 2
43477 0 1
43477 0 4
43562 0 5
43646 0 3
43646 0 6
43730 0 2
43814 0 3
43899 0 4
43983 0 5
44067 0 6
44152 0 7
44236 0 6
44320 0 5
44404 0 4
44489 0 7
44573 0 6
44657 0 7
44741 0 5
44826 0 4
44826 0 6
44910 0 3
44910 0 7
44994 0 2
45079 0 1
45079 0 3
45163 0 4
45247 0 5
45331 0 3
45416 0 5
45500 0 7
45584 0 1
45584 0 4
45668 0 5
45753 0 7
45837 0 4
45921 0 6
46005 0 3
46090 0 5
46174 0 4
46258 0 1
46258 0 5
46343 0 3
46343 0 6
46427 0 2
46511 0 4
46595 0 5
46680 0 6
46764 0 7
46848 0 6
46932 0 7
47017 0 6
47101 0 5
47185 0 3
47270 0 6
47354 0 5
47438 0 4
47522 0 1
47607 0 4
47607 0 7
47691 0 3
47691 0 6
47775 0 2
47859 0 1
47859 0 3
47944 0 4
48028 0 3
48112 0 2
48197 0 1
48197 0 4
48281 0 6
48365 0 2
48449 0 3
48534 0 5
48534 0 7
48618 0 4
48702 0 1
48786 0 2
48871 0 3
48871 0 6
48955 0 4
49039 0 5
49123 0 3
49208 0 6
49292 0 5
49376 0 7
49418 0 6
49461 0 5
49503 0 4
49545 0 3
49587 0 2
49629 0 1
49671 0 7
49713 0 6
49755 0 5
49798 0 4
49840 0 3
49882 0 2
49924 0 4
49966 0 3
50008 0 2
50050 0 1
50093 0 7
50114 0 6
50135 0 5
50156 0 4
50177 0 3
50198 0 2
50219 0 1
50240 0 7
50261 0 6
50282 0 5
50303 0 4
50324 0 3
50345 0 2
50366 0 1
50472 0 5
50472 0 7
50640 0 3
50809 0 4
50977 0 5
50977 0 7
51146 0 3
51314 0 4
51483 0 5
51483 0 7
51736 0 2
51820 0 6
51904 0 3
51904 0 5
51989 0 1
52157 0 3
52326 0 5
52494 0 3
52663 0 1
52663 0 4
52831 0 2
52831 0 5
53000 0 4
53168 0 3
53168 0 5
53337 0 1
53337 0 4
53505 0 2
53505 0 5
53674 0 4
53674 0 7
53843 0 3
53843 0 6
54011 0 2
54011 0 4
54180 0 1
54180 0 3
54348 0 2
54432 0 5
54517 0 1
54517 0 4
54685 0 2
54685 0 6
54854 0 3
54854 0 5
55022 0 6
55191 0 2
55191 0 5
55359 0 3
55528 0 1
55528 0 4
55697 0 3
55781 0 2
55865 0 1
56034 0 3
56202 0 4
56202 0 6
56371 0 1
56539 0 3
56708 0 4
56708 0 6
56876 0 2
57045 0 7
57129 0 6
57213 0 1
57382 0 3
57550 0 4
57550 0 6
57719 0 1
57888 0 3
58056 0 4
58056 0 6
58225 0 2
58393 0 7
58477 0 5
58562 0 2
58562 0 4
58730 0 3
58730 0 5
58899 0 4
58899 0 7
59067 0 3
59067 0 6
59236 0 2
59236 0 5
59404 0 1
59404 0 4
59573 0 2
59573 0 3
59741 0 5
59826 0 3
59910 0 1
60079 0 3
60247 0 4
60247 0 6
60416 0 1
60584 0 2
60753 0 3
60753 0 5
60921 0 1
61090 0 2
61261 0 1
61261 0 3
61434 0 2
61608 0 4
61781 0 6
61954 0 3
61954 0 5
62128 0 2
62128 0 4
62301 0 1
62301 0 3
62475 0 6
62648 0 4
62648 0 6
62821 0 4
62995 0 1
62995 0 3
63168 0 4
63342 0 3
63342 0 5
63515 0 4
63688 0 1
63862 0 3
64035 0 5
64035 0 7
64209 0 2
64382 0 1
64556 0 4
64556 0 6
64729 0 3
64729 0 5
64902 0 2
64902 0 4
65076 0 1
65076 0 3
65249 0 2
65336 0 4
65336 0 6
65509 0 2
65683 0 1
65683 0 5
65856 0 2
66030 0 3
66030 0 5
66030 0 7
66203 0 2
66376 0 1
66376 0 5
66550 0 4
66636 0 5
66723 0 2
66897 0 1
66897 0 3
67070 0 2
67070 0 5
67243 0 3
67243 0 7
67417 0 4
67417 0 6
67590 0 5
67764 0 6
67937 0 4
67980 0 1
68047 0 2
68110 0 3
68241 0 1
68241 0 7
68414 0 2
68414 0 5
68587 0 1
68587 0 7
68761 0 2
68761 0 4
68934 0 1
68934 0 7
69108 0 3
69108 0 5
69194 0 1
69368 0 4
69368 0 6
69584 0 1
69714 0 4
69714 0 6
69845 0 4
69845 0 6
70018 0 1
70235 0 4
70235 0 6
