###FILE ALREADY PARSED###
BPM 101940 60
BPM 1140 120
BPM 29940 72
BPM 64590 144
1140-1440 0 2
1140-1440 0 6
1440-1740 0 3
1440-1740 0 5
1740-2040 0 4
2040-2340 0 3
2040-2340 0 5
2340 0 1
2340 0 5
2340 0 7
2490 0 2
2490 0 7
2565 0 6
2640 0 1
2640 0 3
2640 0 5
2715 0 2
2790 0 4
2790 0 7
2865 0 6
2940 0 1
2940 0 3
2940 0 5
3015 0 2
3090 0 4
3090 0 6
3165 0 5
3240 0 1
3240 0 4
3240 0 7
3315 0 2
3390 0 3
3390 0 6
3465 0 4
3540 0 1
3540 0 3
3615 0 5
3690 0 7
3765 0 5
3840 0 1
3840 0 3
3915 0 5
3990 0 7
4065 0 5
4140 0 1
4140 0 3
4215 0 5
4290 0 7
4365 0 5
4440 0 1
4440 0 4
4515 0 7
4590 0 1
4590 0 5
4665 0 3
4740 0 1
4740 0 5
4740 0 7
4815 0 3
4890 0 5
4890 0 7
4965 0 2
5040 0 1
5040 0 3
5040 0 5
5115 0 4
5190 0 5
5190 0 7
5265 0 3
5340 0 1
5340 0 5
5340 0 7
5415 0 4
5490 0 3
5490 0 5
5565 0 6
5640 0 1
5640 0 3
5640 0 5
5715 0 2
5790 0 5
5790 0 7
5865 0 3
5940 0 1
5940 0 4
5940 0 5
5940 0 7
6165 0 4
6165 0 5
6240 0 1
6240 0 7
6390 0 2
6390 0 3
6540 0 1
6540 0 4
6540 0 5
6540 0 7
7140 0 1
7140 0 5
7140 0 7
7215 0 2
7290 0 5
7290 0 7
7365 0 4
7440 0 1
7440 0 3
7440 0 5
7515 0 2
7590 0 5
7590 0 7
7665 0 4
7740 0 1
7740 0 3
7740 0 5
7815 0 6
7890 0 2
7890 0 4
7965 0 5
8040 0 1
8040 0 3
8040 0 7
8115 0 4
8190 0 3
8190 0 6
8265 0 4
8340 0 1
8340 0 2
8340 0 5
8340 0 6
8565 0 1
8565 0 2
8565 0 5
8565 0 6
8790 0 1
8790 0 2
8790 0 4
8790 0 5
8940 0 1
8940 0 2
8940 0 5
8940 0 6
9540 0 1
9540 0 3
9540 0 6
9690 0 6
9840 0 4
9990 0 6
10140 0 1
10140 0 2
10140 0 6
10290 0 1
10290 0 2
10290 0 5
10440 0 1
10440 0 2
10440 0 4
10590 0 3
10740 0 3
10740 0 4
10965 0 3
10965 0 4
11190 0 4
11190 0 5
11340 0 5
11340 0 6
11490 0 5
11490 0 6
11640 0 1
11640 0 7
11715 0 3
11715 0 5
11790 0 1
11790 0 7
11865 0 3
11865 0 5
11940 0 1
11940 0 6
12240 0 1
12240 0 6
12540 0 1
12540 0 4
12690 0 4
12840 0 1
12990 0 6
13140 0 1
13140 0 3
13290 0 3
13440 0 1
13590 0 5
13740 0 1
13890 0 3
14040 0 1
14190 0 1
14340 0 1
14340 0 4
14640 0 1
14640 0 4
14940 0 1
14940 0 4
15090 0 3
15240 0 1
15240 0 4
15390 0 6
15540 0 1
15540 0 3
15690 0 1
15690 0 3
15690 0 6
15990 0 1
15990 0 3
15990 0 5
16290 0 1
16290 0 3
16290 0 5
16590 0 1
16590 0 3
16590 0 4
16740 0 1
16740 0 3
16740 0 6
17040 0 1
17040 0 6
17340 0 1
17340 0 4
17490 0 4
17640 0 1
17790 0 6
17940 0 1
17940 0 3
17940 0 5
18090 0 5
18240 0 1
18390 0 6
18540 0 1
18690 0 3
18840 0 1
18840 0 3
19140 0 1
19140 0 3
19140 0 4
19440 0 1
19440 0 4
19740 0 1
19740 0 3
19740 0 4
19890 0 2
20040 0 1
20040 0 4
20190 0 7
20340 0 5
20490 0 5
20640 0 3
20790 0 5
20940 0 7
21090 0 5
21240 0 3
21390 0 1
21540 0 1
21540 0 3
21540 0 4
21540 0 7
21690 0 4
21840 0 1
21840 0 3
21840 0 7
21990 0 2
22140 0 1
22140 0 3
22140 0 5
22290 0 3
22290 0 5
22440 0 1
22440 0 4
22590 0 3
22590 0 7
22740 0 1
22740 0 5
22890 0 5
23040 0 1
23190 0 7
23340 0 1
23490 0 3
23640 0 1
23790 0 1
23940 0 1
23940 0 4
23940 0 6
24090 0 4
24240 0 1
24240 0 3
24240 0 6
24390 0 4
24540 0 1
24540 0 4
24540 0 6
24690 0 3
24690 0 5
24840 0 1
24840 0 4
24840 0 6
24990 0 3
24990 0 7
25140 0 1
25290 0 6
25440 0 1
25590 0 5
25740 0 1
25890 0 5
26040 0 1
26190 0 1
26190 0 4
26265 0 2
26340 0 1
26340 0 3
26340 0 4
26340 0 7
26490 0 4
26640 0 1
26640 0 3
26640 0 6
26640 0 7
26790 0 2
26940 0 1
26940 0 3
26940 0 5
26940 0 6
27090 0 1
27090 0 3
27090 0 5
27090 0 6
27240 0 4
27390 0 1
27390 0 3
27390 0 6
27390 0 7
27540 0 1
27540 0 5
27540 0 6
27690 0 1
27690 0 5
27690 0 6
27990 0 1
27990 0 6
27990 0 7
28290 0 1
28290 0 3
28290 0 6
28440 0 1
28515 0 3
28590 0 5
28665 0 7
28740 0 1
28740 0 4
28740 0 6
28890 0 1
28890 0 6
29040 0 1
29040 0 3
29040 0 7
29077 0 6
29115 0 5
29152 0 4
29190 0 3
29227 0 2
29265 0 3
29302 0 2
29340 0 1
29340 0 4
29340 0 6
29490 0 1
29490 0 3
29490 0 6
29640 0 1
29640 0 4
29677 0 2
29715 0 3
29752 0 4
29790 0 5
29827 0 6
29865 0 5
29902 0 6
40740 0 3
41340 0 1
41940 0 3
42540 0 4
43140 0 5
44940 0 4
45540 0 5
46140 0 3
46740 0 5
47340 0 7
47940 0 3
49740 0 5
49740 0 7
50340 0 4
50340 0 6
52140 0 4
52140 0 6
52740 0 3
52740 0 5
54540 0 3
54540 0 5
55140 0 2
55140 0 4
55740 0 1
55740 0 3
56340 0 2
56340 0 4
56940 0 4
56940 0 6
57540 0 3
57540 0 5
61140 0 4
61140 0 6
63840 0 4
64140 0 4
64440 0 4
64740 0 1
64740 0 5
64740 0 7
64815 0 4
64815 0 6
64890 0 5
64890 0 7
64965 0 2
64965 0 4
65040 0 1
65040 0 5
65040 0 7
65115 0 4
65115 0 6
65190 0 3
65190 0 5
65265 0 2
65265 0 4
65340 0 1
65340 0 5
65340 0 7
65415 0 4
65415 0 6
65490 0 5
65490 0 7
65565 0 2
65565 0 4
65640 0 1
65640 0 3
65640 0 5
65715 0 2
65715 0 4
65790 0 4
65790 0 6
65865 0 5
65865 0 7
65940 0 1
65940 0 4
65940 0 6
66015 0 3
66015 0 5
66090 0 4
66090 0 6
66165 0 2
66165 0 4
66240 0 1
66240 0 5
66240 0 7
66315 0 4
66315 0 6
66390 0 3
66390 0 5
66465 0 2
66465 0 4
66540 0 1
66540 0 3
66540 0 5
66615 0 4
66615 0 6
66690 0 3
66690 0 5
66765 0 5
66765 0 7
66840 0 1
66840 0 2
66840 0 4
66915 0 3
66915 0 5
66990 0 1
66990 0 2
66990 0 4
67065 0 5
67065 0 7
67140 0 1
67140 0 4
67140 0 6
67215 0 3
67215 0 5
67290 0 4
67290 0 6
67365 0 2
67365 0 4
67440 0 1
67440 0 5
67440 0 7
67515 0 4
67515 0 6
67590 0 3
67590 0 5
67665 0 2
67665 0 4
67740 0 1
67740 0 5
67740 0 7
67815 0 4
67815 0 6
67890 0 5
67890 0 7
67965 0 2
67965 0 4
68040 0 1
68040 0 3
68040 0 5
68115 0 4
68115 0 6
68190 0 3
68190 0 5
68265 0 5
68265 0 7
68340 0 1
68340 0 4
68340 0 6
68415 0 3
68415 0 5
68490 0 4
68490 0 6
68565 0 3
68565 0 5
68640 0 1
68640 0 5
68640 0 7
68715 0 4
68715 0 6
68790 0 3
68790 0 5
68865 0 2
68865 0 4
68940 0 1
68940 0 3
68940 0 5
69015 0 4
69015 0 6
69090 0 3
69090 0 5
69165 0 4
69165 0 6
69240 0 2
69240 0 4
69315 0 3
69315 0 5
69390 0 2
69390 0 4
69465 0 5
69465 0 7
69540 0 1
69540 0 2
69540 0 3
69540 0 5
69615 0 2
69615 0 6
69690 0 3
69690 0 5
69765 0 4
69765 0 6
69840 0 1
69840 0 3
69840 0 7
69915 0 4
69915 0 6
69990 0 3
69990 0 5
70065 0 5
70065 0 7
70140 0 1
70140 0 3
70140 0 5
70215 0 2
70215 0 6
70290 0 3
70290 0 5
70365 0 4
70365 0 6
70440 0 1
70440 0 3
70440 0 7
70515 0 2
70515 0 6
70590 0 3
70590 0 5
70665 0 4
70665 0 6
70740 0 1
70740 0 3
70740 0 5
70815 0 2
70815 0 6
70890 0 3
70890 0 7
70965 0 4
70965 0 6
71040 0 1
71040 0 3
71040 0 5
71115 0 2
71115 0 4
71190 0 3
71190 0 5
71265 0 4
71265 0 6
71340 0 1
71340 0 3
71340 0 7
71415 0 4
71415 0 6
71490 0 3
71490 0 5
71565 0 2
71565 0 4
71640 0 1
71640 0 3
71640 0 7
71715 0 2
71715 0 4
71790 0 3
71790 0 5
71865 0 2
71865 0 6
71940 0 1
71940 0 3
71940 0 5
72015 0 2
72015 0 6
72090 0 3
72090 0 5
72165 0 4
72165 0 6
72240 0 1
72240 0 3
72240 0 5
72315 0 2
72315 0 6
72390 0 3
72390 0 5
72465 0 4
72465 0 6
72540 0 1
72540 0 3
72540 0 5
72615 0 2
72615 0 6
72690 0 3
72690 0 5
72765 0 4
72765 0 6
72840 0 1
72840 0 3
72840 0 5
72915 0 2
72915 0 6
72990 0 3
72990 0 5
73065 0 4
73065 0 6
73140 0 1
73140 0 3
73215 0 2
73215 0 4
73290 0 3
73290 0 5
73365 0 4
73365 0 6
73440 0 2
73440 0 4
73515 0 3
73515 0 5
73590 0 4
73590 0 6
73665 0 5
73665 0 7
